DATE_TIME,TOTAL_YIELD
15-05-2020 3.15,6339380
15-05-2020 3.15,7116151
15-05-2020 3.30,6259559
15-05-2020 3.30,6183645
15-05-2020 3.30,6987759
15-05-2020 3.30,7602960
15-05-2020 3.30,7158964
15-05-2020 3.30,7206408
15-05-2020 3.30,7028673
15-05-2020 3.30,6522172
15-05-2020 3.30,7098099
15-05-2020 3.30,6271355
15-05-2020 3.30,6316803
15-05-2020 3.30,7177992
15-05-2020 3.30,6185184
15-05-2020 3.30,7169102
15-05-2020 3.30,7111493
15-05-2020 3.30,7016832
15-05-2020 3.30,7038681
15-05-2020 3.30,6782598
15-05-2020 3.30,7007866
15-05-2020 3.30,6339380
15-05-2020 3.30,7116151
15-05-2020 3.45,6259559
15-05-2020 3.45,6183645
15-05-2020 3.45,6987759
15-05-2020 3.45,7602960
15-05-2020 3.45,7158964
15-05-2020 3.45,7206408
15-05-2020 3.45,7028673
15-05-2020 3.45,6522172
15-05-2020 3.45,7098099
15-05-2020 3.45,6271355
15-05-2020 3.45,6316803
15-05-2020 3.45,7177992
15-05-2020 3.45,6185184
15-05-2020 3.45,7169102
15-05-2020 3.45,7111493
15-05-2020 3.45,7016832
15-05-2020 3.45,7038681
15-05-2020 3.45,6782598
15-05-2020 3.45,7007866
15-05-2020 3.45,6339380
15-05-2020 3.45,7116151
15-05-2020 4.00,6259559
15-05-2020 4.00,6183645
15-05-2020 4.00,6987759
15-05-2020 4.00,7602960
15-05-2020 4.00,7158964
15-05-2020 4.00,7206408
15-05-2020 4.00,7028673
15-05-2020 4.00,6522172
15-05-2020 4.00,7098099
15-05-2020 4.00,6271355
15-05-2020 4.00,6316803
15-05-2020 4.00,7177992
15-05-2020 4.00,6185184
15-05-2020 4.00,7169102
15-05-2020 4.00,7111493
15-05-2020 4.00,7016832
15-05-2020 4.00,7038681
15-05-2020 4.00,6782598
15-05-2020 4.00,7007866
15-05-2020 4.00,6339380
15-05-2020 4.00,7116151
15-05-2020 4.15,6259559
15-05-2020 4.15,6183645
15-05-2020 4.15,6987759
15-05-2020 4.15,7602960
15-05-2020 4.15,7158964
15-05-2020 4.15,7206408
15-05-2020 4.15,7028673
15-05-2020 4.15,7179966
15-05-2020 4.15,6522172
15-05-2020 4.15,7098099
15-05-2020 4.15,6271355
15-05-2020 4.15,6316803
15-05-2020 4.15,7177992
15-05-2020 4.15,6185184
15-05-2020 4.15,7169102
15-05-2020 4.15,7111493
15-05-2020 4.15,7016832
15-05-2020 4.15,7038681
15-05-2020 4.15,6782598
15-05-2020 4.15,7007866
15-05-2020 4.15,6339380
15-05-2020 4.15,7116151
15-05-2020 4.30,6259559
15-05-2020 4.30,6183645
15-05-2020 4.30,6987759
15-05-2020 4.30,7602960
15-05-2020 4.30,7158964
15-05-2020 4.30,7206408
15-05-2020 4.30,7028673
15-05-2020 4.30,7179966
15-05-2020 4.30,6522172
15-05-2020 4.30,7098099
15-05-2020 4.30,6271355
15-05-2020 4.30,6316803
15-05-2020 4.30,7177992
15-05-2020 4.30,6185184
15-05-2020 4.30,7169102
15-05-2020 4.30,7111493
15-05-2020 4.30,7016832
15-05-2020 4.30,7038681
15-05-2020 4.30,6782598
15-05-2020 4.30,7007866
15-05-2020 4.30,6339380
15-05-2020 4.30,7116151
15-05-2020 4.45,6259559
15-05-2020 4.45,6183645
15-05-2020 4.45,6987759
15-05-2020 4.45,7602960
15-05-2020 4.45,7158964
15-05-2020 4.45,7206408
15-05-2020 4.45,7028673
15-05-2020 4.45,7179966
15-05-2020 4.45,6522172
15-05-2020 4.45,7098099
15-05-2020 4.45,6271355
15-05-2020 4.45,6316803
15-05-2020 4.45,7177992
15-05-2020 4.45,6185184
15-05-2020 4.45,7169102
15-05-2020 4.45,7111493
15-05-2020 4.45,7016832
15-05-2020 4.45,7038681
15-05-2020 4.45,6782598
15-05-2020 4.45,7007866
15-05-2020 4.45,6339380
15-05-2020 4.45,7116151
15-05-2020 5.00,6259559
15-05-2020 5.00,6183645
15-05-2020 5.00,6987759
15-05-2020 5.00,7602960
15-05-2020 5.00,7158964
15-05-2020 5.00,7206408
15-05-2020 5.00,7028673
15-05-2020 5.00,7179966
15-05-2020 5.00,6522172
15-05-2020 5.00,7098099
15-05-2020 5.00,6271355
15-05-2020 5.00,6316803
15-05-2020 5.00,7177992
15-05-2020 5.00,6185184
15-05-2020 5.00,7169102
15-05-2020 5.00,7111493
15-05-2020 5.00,7016832
15-05-2020 5.00,7038681
15-05-2020 5.00,6782598
15-05-2020 5.00,7007866
15-05-2020 5.00,6339380
15-05-2020 5.00,7116151
15-05-2020 5.15,6259559
15-05-2020 5.15,6183645
15-05-2020 5.15,6987759
15-05-2020 5.15,7602960
15-05-2020 5.15,7158964
15-05-2020 5.15,7206408
15-05-2020 5.15,7028673
15-05-2020 5.15,6522172
15-05-2020 5.15,7098099
15-05-2020 5.15,6271355
15-05-2020 5.15,6316803
15-05-2020 5.15,7177992
15-05-2020 5.15,6185184
15-05-2020 5.15,7169102
15-05-2020 5.15,7111493
15-05-2020 5.15,7016832
15-05-2020 5.15,7038681
15-05-2020 5.15,6782598
15-05-2020 5.15,7007866
15-05-2020 5.15,6339380
15-05-2020 5.15,7116151
15-05-2020 5.30,6259559
15-05-2020 5.30,6183645
15-05-2020 5.30,6987759
15-05-2020 5.30,7602960
15-05-2020 5.30,7158964
15-05-2020 5.30,7206408
15-05-2020 5.30,7028673
15-05-2020 5.30,6522172
15-05-2020 5.30,7098099
15-05-2020 5.30,6271355
15-05-2020 5.30,6316803
15-05-2020 5.30,7177992
15-05-2020 5.30,6185184
15-05-2020 5.30,7169102
15-05-2020 5.30,7111493
15-05-2020 5.30,7016832
15-05-2020 5.30,7038681
15-05-2020 5.30,6782598
15-05-2020 5.30,7007866
15-05-2020 5.30,6339380
15-05-2020 5.30,7116151
15-05-2020 5.45,6259559
15-05-2020 5.45,6183645
15-05-2020 5.45,6987759
15-05-2020 5.45,7602960
15-05-2020 5.45,7158964
15-05-2020 5.45,7206408
15-05-2020 5.45,7028673
15-05-2020 5.45,6522172
15-05-2020 5.45,7098099
15-05-2020 5.45,6271355
15-05-2020 5.45,6316803
15-05-2020 5.45,7177992
15-05-2020 5.45,6185184
15-05-2020 5.45,7169102
15-05-2020 5.45,7111493
15-05-2020 5.45,7016832
15-05-2020 5.45,7038681
15-05-2020 5.45,6782598
15-05-2020 5.45,7007866
15-05-2020 5.45,6339380
15-05-2020 5.45,7116151
15-05-2020 6.00,6259559
15-05-2020 6.00,6183645
15-05-2020 6.00,6987759
15-05-2020 6.00,7602960
15-05-2020 6.00,7158964
15-05-2020 6.00,7206408
15-05-2020 6.00,7028673
15-05-2020 6.00,6522172
15-05-2020 6.00,7098099
15-05-2020 6.00,6271355
15-05-2020 6.00,6316803
15-05-2020 6.00,7177992
15-05-2020 6.00,6185184
15-05-2020 6.00,7169102
15-05-2020 6.00,7111493
15-05-2020 6.00,7016832
15-05-2020 6.00,7038681
15-05-2020 6.00,6782598
15-05-2020 6.00,7007866
15-05-2020 6.00,6339380
15-05-2020 6.00,7116151
15-05-2020 6.15,6259561.625
15-05-2020 6.15,6183648
15-05-2020 6.15,6987762.5
15-05-2020 6.15,7602963.5
15-05-2020 6.15,7158967.143
15-05-2020 6.15,7206408
15-05-2020 6.15,7028676.375
15-05-2020 6.15,6522175.143
15-05-2020 6.15,7098101.833
15-05-2020 6.15,6271358.429
15-05-2020 6.15,6316806
15-05-2020 6.15,7177994.571
15-05-2020 6.15,6185187.667
15-05-2020 6.15,7169104.571
15-05-2020 6.15,7111496
15-05-2020 6.15,7016835
15-05-2020 6.15,7038684.143
15-05-2020 6.15,6782601.429
15-05-2020 6.15,7007869.429
15-05-2020 6.15,6339382.857
15-05-2020 6.15,7116153.571
15-05-2020 6.30,6259572.286
15-05-2020 6.30,6183660.5
15-05-2020 6.30,6987774.143
15-05-2020 6.30,7602975
15-05-2020 6.30,7158979.375
15-05-2020 6.30,7206415.143
15-05-2020 6.30,7028688.143
15-05-2020 6.30,7179988
15-05-2020 6.30,6522187.5
15-05-2020 6.30,7098113.333
15-05-2020 6.30,6271370.5
15-05-2020 6.30,6316816.857
15-05-2020 6.30,7178006.5
15-05-2020 6.30,6185198
15-05-2020 6.30,7169116.25
15-05-2020 6.30,7111507.875
15-05-2020 6.30,7016846.75
15-05-2020 6.30,7038696.25
15-05-2020 6.30,6782613.25
15-05-2020 6.30,7007881.25
15-05-2020 6.30,6339394.375
15-05-2020 6.30,7116164
15-05-2020 6.45,6259593.875
15-05-2020 6.45,6183684.143
15-05-2020 6.45,6987796
15-05-2020 6.45,7602999
15-05-2020 6.45,7159002.714
15-05-2020 6.45,7206440.25
15-05-2020 6.45,7028709.857
15-05-2020 6.45,7180003.25
15-05-2020 6.45,6522212
15-05-2020 6.45,7098136
15-05-2020 6.45,6271394
15-05-2020 6.45,6316837.75
15-05-2020 6.45,7178028.429
15-05-2020 6.45,6185222.2
15-05-2020 6.45,7169139.143
15-05-2020 6.45,7111531.143
15-05-2020 6.45,7016869.429
15-05-2020 6.45,7038718.714
15-05-2020 6.45,6782635.714
15-05-2020 6.45,7007904
15-05-2020 6.45,6339416.571
15-05-2020 6.45,7116184.857
15-05-2020 7.00,6259631.714
15-05-2020 7.00,6183727.375
15-05-2020 7.00,6987838.5
15-05-2020 7.00,7603040
15-05-2020 7.00,7159044.25
15-05-2020 7.00,7206483.143
15-05-2020 7.00,7028752
15-05-2020 7.00,7180043.571
15-05-2020 7.00,6522253
15-05-2020 7.00,7098177
15-05-2020 7.00,6271437.375
15-05-2020 7.00,6316875.571
15-05-2020 7.00,7178069
15-05-2020 7.00,6185262.429
15-05-2020 7.00,7169179.875
15-05-2020 7.00,7111571.5
15-05-2020 7.00,7016910.125
15-05-2020 7.00,7038759.625
15-05-2020 7.00,6782677
15-05-2020 7.00,7007946.25
15-05-2020 7.00,6339456.875
15-05-2020 7.00,7116221
15-05-2020 7.15,6259675.25
15-05-2020 7.15,6183776.714
15-05-2020 7.15,6987888.714
15-05-2020 7.15,7603084.714
15-05-2020 7.15,7159093.429
15-05-2020 7.15,7206528.286
15-05-2020 7.15,7028799.714
15-05-2020 7.15,7180091.25
15-05-2020 7.15,6522299.857
15-05-2020 7.15,7098224.75
15-05-2020 7.15,6271489.143
15-05-2020 7.15,6316919.25
15-05-2020 7.15,7178116.429
15-05-2020 7.15,6185316.2
15-05-2020 7.15,7169227
15-05-2020 7.15,7111619.143
15-05-2020 7.15,7016957.857
15-05-2020 7.15,7038807.857
15-05-2020 7.15,6782725
15-05-2020 7.15,7007995
15-05-2020 7.15,6339505.571
15-05-2020 7.15,7116263.714
15-05-2020 7.30,6259721.429
15-05-2020 7.30,6183829.625
15-05-2020 7.30,6987940.875
15-05-2020 7.30,7603135.375
15-05-2020 7.30,7159145.125
15-05-2020 7.30,7206580.375
15-05-2020 7.30,7028850.625
15-05-2020 7.30,7180141
15-05-2020 7.30,6522350.286
15-05-2020 7.30,7098273.857
15-05-2020 7.30,6271542.5
15-05-2020 7.30,6316965.857
15-05-2020 7.30,7178166.375
15-05-2020 7.30,6185357.571
15-05-2020 7.30,7169276.5
15-05-2020 7.30,7111669.75
15-05-2020 7.30,7017007.875
15-05-2020 7.30,7038858.625
15-05-2020 7.30,6782772.857
15-05-2020 7.30,7008042.714
15-05-2020 7.30,6339555.25
15-05-2020 7.30,7116308
15-05-2020 7.45,6259765.375
15-05-2020 7.45,6183878.714
15-05-2020 7.45,6987990.286
15-05-2020 7.45,7603183.857
15-05-2020 7.45,7159193.571
15-05-2020 7.45,7206629.857
15-05-2020 7.45,7028900.143
15-05-2020 7.45,7180189.125
15-05-2020 7.45,6522396.714
15-05-2020 7.45,7098320.625
15-05-2020 7.45,6271592.714
15-05-2020 7.45,6317010.625
15-05-2020 7.45,7178214.714
15-05-2020 7.45,6185406
15-05-2020 7.45,7169321.429
15-05-2020 7.45,7111715.286
15-05-2020 7.45,7017056
15-05-2020 7.45,7038906
15-05-2020 7.45,6782820.5
15-05-2020 7.45,7008090.75
15-05-2020 7.45,6339601.857
15-05-2020 7.45,7116348.714
15-05-2020 8.00,6259822.571
15-05-2020 8.00,6183937.5
15-05-2020 8.00,6988046.75
15-05-2020 8.00,7603241
15-05-2020 8.00,7159255
15-05-2020 8.00,7206687.125
15-05-2020 8.00,7028957
15-05-2020 8.00,7180247.571
15-05-2020 8.00,6522459.125
15-05-2020 8.00,7098376.714
15-05-2020 8.00,6271651.375
15-05-2020 8.00,6317065.571
15-05-2020 8.00,7178272.875
15-05-2020 8.00,6185465
15-05-2020 8.00,7169378.375
15-05-2020 8.00,7111768.286
15-05-2020 8.00,7017116
15-05-2020 8.00,7038965
15-05-2020 8.00,6782879.286
15-05-2020 8.00,7008150.714
15-05-2020 8.00,6339659.125
15-05-2020 8.00,7116396.571
15-05-2020 8.15,6259918.875
15-05-2020 8.15,6184025
15-05-2020 8.15,6988135
15-05-2020 8.15,7603324.571
15-05-2020 8.15,7159359.429
15-05-2020 8.15,7206773.857
15-05-2020 8.15,7029057
15-05-2020 8.15,7180336.125
15-05-2020 8.15,6522552
15-05-2020 8.15,7098463.375
15-05-2020 8.15,6271740.714
15-05-2020 8.15,6317150.625
15-05-2020 8.15,7178371.857
15-05-2020 8.15,6185555.143
15-05-2020 8.15,7169476.429
15-05-2020 8.15,7111864.25
15-05-2020 8.15,7017215.857
15-05-2020 8.15,7039070
15-05-2020 8.15,6782980.875
15-05-2020 8.15,7008261.5
15-05-2020 8.15,6339752.143
15-05-2020 8.15,7116486.125
15-05-2020 8.30,6260023
15-05-2020 8.30,6184154
15-05-2020 8.30,6988260.5
15-05-2020 8.30,7603441.5
15-05-2020 8.30,7159496.75
15-05-2020 8.30,7206892.125
15-05-2020 8.30,7029186.25
15-05-2020 8.30,7180463.571
15-05-2020 8.30,6522662.714
15-05-2020 8.30,7098589
15-05-2020 8.30,6271867.375
15-05-2020 8.30,6317256
15-05-2020 8.30,7178509.5
15-05-2020 8.30,6185657.6
15-05-2020 8.30,7169610.5
15-05-2020 8.30,7112001.857
15-05-2020 8.30,7017352.375
15-05-2020 8.30,7039205.375
15-05-2020 8.30,6783102.714
15-05-2020 8.30,7008385.429
15-05-2020 8.30,6339886.5
15-05-2020 8.30,7116608.286
15-05-2020 8.45,6260115.125
15-05-2020 8.45,6184262.714
15-05-2020 8.45,6988372.286
15-05-2020 8.45,7603544
15-05-2020 8.45,7159605.429
15-05-2020 8.45,7207000
15-05-2020 8.45,7029300.286
15-05-2020 8.45,7180566.625
15-05-2020 8.45,6522764.143
15-05-2020 8.45,7098691.5
15-05-2020 8.45,6271976.857
15-05-2020 8.45,6317350.875
15-05-2020 8.45,7178613.571
15-05-2020 8.45,6185764.5
15-05-2020 8.45,7169716.286
15-05-2020 8.45,7112105.25
15-05-2020 8.45,7017457.857
15-05-2020 8.45,7039306.429
15-05-2020 8.45,6783208.875
15-05-2020 8.45,7008489.25
15-05-2020 8.45,6339990.857
15-05-2020 8.45,7116704.875
15-05-2020 9.00,6260247.857
15-05-2020 9.00,6184449.125
15-05-2020 9.00,6988557
15-05-2020 9.00,7603719.5
15-05-2020 9.00,7159721.714
15-05-2020 9.00,7207175
15-05-2020 9.00,7029467.625
15-05-2020 9.00,7180721.571
15-05-2020 9.00,6522920.75
15-05-2020 9.00,7098860
15-05-2020 9.00,6272164.125
15-05-2020 9.00,6317502.143
15-05-2020 9.00,7178754.75
15-05-2020 9.00,6185910.286
15-05-2020 9.00,7169873
15-05-2020 9.00,7112262.286
15-05-2020 9.00,7017577.143
15-05-2020 9.00,7039431.125
15-05-2020 9.00,6783330.714
15-05-2020 9.00,7008614.429
15-05-2020 9.00,6340158.75
15-05-2020 9.00,7116804.286
15-05-2020 9.15,6260370.625
15-05-2020 9.15,6184591.571
15-05-2020 9.15,6988688.286
15-05-2020 9.15,7603863.286
15-05-2020 9.15,7159903.25
15-05-2020 9.15,7207320
15-05-2020 9.15,7029582.714
15-05-2020 9.15,7180883.143
15-05-2020 9.15,6523091.857
15-05-2020 9.15,7099005.429
15-05-2020 9.15,6272309.714
15-05-2020 9.15,6317633.5
15-05-2020 9.15,7178933
15-05-2020 9.15,6186090.4
15-05-2020 9.15,7170058.714
15-05-2020 9.15,7112439.5
15-05-2020 9.15,7017757.25
15-05-2020 9.15,7039615.714
15-05-2020 9.15,6783507.625
15-05-2020 9.15,7008787.375
15-05-2020 9.15,6340325.143
15-05-2020 9.15,7116862
15-05-2020 9.30,6260445.571
15-05-2020 9.30,6184674.125
15-05-2020 9.30,6988763.375
15-05-2020 9.30,7603940.75
15-05-2020 9.30,7160008.857
15-05-2020 9.30,7207398
15-05-2020 9.30,7029652.375
15-05-2020 9.30,7180974.125
15-05-2020 9.30,6523177.714
15-05-2020 9.30,7099092.25
15-05-2020 9.30,6272389.5
15-05-2020 9.30,6317706.143
15-05-2020 9.30,7179032.75
15-05-2020 9.30,6186196.75
15-05-2020 9.30,7170163.857
15-05-2020 9.30,7112541.286
15-05-2020 9.30,7017861.286
15-05-2020 9.30,7039739.143
15-05-2020 9.30,6783612.286
15-05-2020 9.30,7008895.143
15-05-2020 9.30,6340414.5
15-05-2020 9.30,7116862
15-05-2020 9.45,6260550.429
15-05-2020 9.45,6184811.571
15-05-2020 9.45,6988897
15-05-2020 9.45,7604065.429
15-05-2020 9.45,7160131
15-05-2020 9.45,7207525.857
15-05-2020 9.45,7029790
15-05-2020 9.45,7181097.714
15-05-2020 9.45,6523294
15-05-2020 9.45,7099220.286
15-05-2020 9.45,6272525.429
15-05-2020 9.45,6317809.857
15-05-2020 9.45,7179161.429
15-05-2020 9.45,6186305.571
15-05-2020 9.45,7170282.375
15-05-2020 9.45,7112670
15-05-2020 9.45,7017986.125
15-05-2020 9.45,7039850.375
15-05-2020 9.45,6783740.25
15-05-2020 9.45,7009010.875
15-05-2020 9.45,6340546.714
15-05-2020 9.45,7116898.5
15-05-2020 10.00,6260720.25
15-05-2020 10.00,6185035.714
15-05-2020 10.00,6989125.375
15-05-2020 10.00,7604287
15-05-2020 10.00,7160369.571
15-05-2020 10.00,7207732.625
15-05-2020 10.00,7030002.75
15-05-2020 10.00,7181333
15-05-2020 10.00,6523497.875
15-05-2020 10.00,7099449.125
15-05-2020 10.00,6272748.857
15-05-2020 10.00,6317976.25
15-05-2020 10.00,7179389.143
15-05-2020 10.00,6186536.857
15-05-2020 10.00,7170513.571
15-05-2020 10.00,7112906.714
15-05-2020 10.00,7018227
15-05-2020 10.00,7040075.429
15-05-2020 10.00,6783955.143
15-05-2020 10.00,7009223.714
15-05-2020 10.00,6340771.571
15-05-2020 10.00,7117121.429
15-05-2020 10.15,6260866.571
15-05-2020 10.15,6185187.625
15-05-2020 10.15,6989268
15-05-2020 10.15,7604431.143
15-05-2020 10.15,7160560.125
15-05-2020 10.15,7207879.286
15-05-2020 10.15,7030139.429
15-05-2020 10.15,7181507.571
